"","unique_id","ent_by","year","site","fdate","round","observer","transect","t_c","quadrat","planted","f_number","count_unit","plant_genus","plant_species","plant_code","notes"
"1","AB410791C1100100","NA",2012,"AB",2012-06-19,"1","NA","1","C","10","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"2","AB410791C11syriaca19","NA",2012,"AB",2012-06-19,"1","NA","1","C","1","no","9","head","Asclepias","syriaca","ASSY","NA; NA; NA"
"3","AB410791C12syriaca26","NA",2012,"AB",2012-06-19,"1","NA","1","C","2","no","6","head","Asclepias","syriaca","ASSY","NA; NA; NA"
"4","AB410791C13stricta34","NA",2012,"AB",2012-06-19,"1","NA","1","C","3","no","4","flr","Oxalis","stricta","OXST","NA; NA; NA"
"5","AB410791C13syriaca33","NA",2012,"AB",2012-06-19,"1","NA","1","C","3","no","3","head","Asclepias","syriaca","ASSY","NA; NA; NA"
"6","AB410791C14philadelphicus48","NA",2012,"AB",2012-06-19,"1","NA","1","C","4","no","8","NA","Erigeron","philadelphicus","ERPH","NA; NA; NA"
"7","AB410791C15050","NA",2012,"AB",2012-06-19,"1","NA","1","C","5","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"8","AB410791C16060","NA",2012,"AB",2012-06-19,"1","NA","1","C","6","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"9","AB410791C17070","NA",2012,"AB",2012-06-19,"1","NA","1","C","7","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"10","AB410791C18080","NA",2012,"AB",2012-06-19,"1","NA","1","C","8","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"11","AB410791C19090","NA",2012,"AB",2012-06-19,"1","NA","1","C","9","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"12","AB410791C21010","NA",2012,"AB",2012-06-19,"1","NA","2","C","1","no","0","NA","NONE","NONE","NONE","NA; NA; NA"
"13","AB410791C210syriaca10325","NA",2012,"AB",2012-06-19,"1","NA","2","C","10","no","325","fl","Asclepias","syriaca","ASSY","NA; NA; NA"
