"","site_full","site","Name","T_C","latitude","longitude","state","county","country","Projects","y2011","y2012","y2013","y2014","y2015","n_years"
"1","Abrams","AB","AB_C","C","39.772882","-74.772184","NJ","Burlington","USA","NatCIG_XercesCIG","","NatCIG","XercesCIG","XercesCIG","XercesCIG",4
"2","Abrams","AB","AB_T","T","39.780504","-74.767308","NJ","Burlington","USA","NatCIG_XercesCIG","","NatCIG","XercesCIG","XercesCIG","XercesCIG",4
"3","Allamuchy","AL","AL_C","C","40.92378","-74.813615","NJ","Warren","USA","NatCIG_XercesCIG","","NatCIG","XercesCIG","XercesCIG","XercesCIG",4
"4","Allamuchy","AL","AL_T","T","40.926863","-74.813052","NJ","Warren","USA","NatCIG_XercesCIG","","NatCIG","XercesCIG","XercesCIG","XercesCIG",4
"5","Bowers","BO","BO_C","C","40.356694","-74.930745","NJ","Hunterdon ","USA","Xerces_1 year_NatCIG 2011","NatCIG","","XercesCIG","","",2
"6","Bowers","BO","BO_T","T","40.355358","-74.930309","NJ","Hunterdon ","USA","Xerces_1 year_NatCIG 2011","NatCIG","","XercesCIG","","",2
"7","Bellview","BW","BW_C","C","39.536493","-74.934855","NJ","Atlantic","USA","NatCIG_XercesCIG","","NatCIG","XercesCIG","XercesCIG","",3
"8","Bellview","BW","BW_T","T","39.536073","-74.932563","NJ","Atlantic","USA","NatCIG_XercesCIG","","NatCIG","XercesCIG","XercesCIG","",3
"9","Cranbury","CR","CR_C","C","40.311714","-74.52176","NJ","Middlesex ","USA","NatCIG","NatCIG","","","","",1
"10","Cranbury","CR","CR_T","T","40.31095","-74.5186","NJ","Middlesex ","USA","NatCIG","NatCIG","","","","",1
"11","DeanFischer","DF","DF_C","C","39.919101","-74.790498","NJ","Burlington","USA","NatCIG","","NatCIG","","","",1
"12","DeanFischer","DF","DF_T","T","39.9198","-74.790006","NJ","Burlington","USA","NatCIG","","NatCIG","","","",1
"13","Dottavio","DO","DO_C","C","39.493386","-74.965366","NJ","Cumberland","USA","Xerces_CIG","","","","XercesCIG","",1
"14","Dottavio","DO","DO_T","T","39.493867","-74.965988","NJ","Cumberland","USA","Xerces_CIG","","","","XercesCIG","",1
"15","DandR Greenway","DR","DR_C","C","40.299382","-74.565924","NJ","Mercer","USA","NatCIG_XercesCIG","","","Both","XercesCIG","XercesCIG",3
"16","DandR Greenway","DR","DR_T","T","40.298445","-74.56289","NJ","Mercer","USA","NatCIG_XercesCIG","","","Both","XercesCIG","XercesCIG",3
