"","uniqueID","year","month","day","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","det","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code","plant_genus","plant_species","planted","collector","latitude","longitude"
"1","NAT.CIG2011_100","2011","5","31","1",2011-05-31,"HP","AM","1","T","","Andrena","brevipalpis","",NA,NA,"",2011-11-11,"bee","","PASA2","Pastinaca","sativa","no","CLW","40.667605","-75.047923"
"2","NAT.CIG2011_110","2011","5","31","1",2011-05-31,"HP","AM","2","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"3","NAT.CIG2011_111","2011","5","31","1",2011-05-31,"HP","AM","2","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"4","NAT.CIG2011_112","2011","5","31","1",2011-05-31,"HP","AM","2","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"5","NAT.CIG2011_113","2011","5","31","1",2011-05-31,"HP","AM","2","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"6","NAT.CIG2011_114","2011","5","31","1",2011-05-31,"HP","AM","2","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"7","NAT.CIG2011_115","2011","5","31","1",2011-05-31,"HP","AM","2","T","","Halictus","ligatus","","f","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"8","NAT.CIG2011_116","2011","5","31","1",2011-05-31,"HP","AM","2","T","","Ceratina","strenua","","m","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"9","NAT.CIG2011_117","2011","5","31","1",2011-05-31,"HP","AM","2","T","","Ceratina","calcarata","","m","Ascher","",2011-11-11,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"10","NAT.CIG2011_119","2011","5","31","1",2011-05-31,"HP","AM","3","T","","Ceratina","calcarata","","m","Ascher","",2011-11-11,"bee","","DIBA","Dianthus","barbatus","yes","CLW","40.667605","-75.047923"
"11","NAT.CIG2011_120","2011","5","31","1",2011-05-31,"HP","AM","3","T","","Ceratina","calcarata","","f","J.Gibbs","",2015-01-01,"bee","","DIBA","Dianthus","barbatus","yes","CLW","40.667605","-75.047923"
"12","NAT.CIG2011_121","2011","5","31","1",2011-05-31,"HP","AM","3","T","","Ceratina","strenua","","f","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
"13","NAT.CIG2011_122","2011","5","31","1",2011-05-31,"HP","AM","3","T","","Ceratina","dupla","","f","J.Gibbs","",2015-01-01,"bee","","ERPH","Erigeron","philadelphicus","no","CLW","40.667605","-75.047923"
